x,y,z,Ux,Uy,Uz,U_magnitude
10.75,0.166667,0.05,-0.0183864,0.00207241,-0.000742365,0.018517712978694884
10.9167,0.166667,0.05,-0.0189367,0.00211254,-0.00076068,0.019069348866807175
11.0833,0.166667,0.05,-0.0194881,0.00215188,-0.000778357,0.019621989419114697
11.25,0.166667,0.05,-0.0200411,0.00219047,-0.00079544,0.020176138699575297
11.4167,0.166667,0.05,-0.020596,0.00222833,-0.000811985,0.020732100477981602
11.5833,0.166667,0.05,-0.0211532,0.00226551,-0.000828068,0.02129028187724916
11.75,0.166667,0.05,-0.0217128,0.00230206,-0.000843771,0.02185079205850536
11.9167,0.166667,0.05,-0.0222749,0.00233807,-0.00085919,0.022413744640086358
12.0833,0.166667,0.05,-0.0228395,0.00237359,-0.000874427,0.022979149512469533
12.25,0.166667,0.05,-0.0234064,0.00240872,-0.00088959,0.023546822787087435
12.4167,0.166667,0.05,-0.0239752,0.00244354,-0.000904789,0.02411637920389628
12.5833,0.166667,0.05,-0.0245456,0.00247816,-0.000920136,0.024687535450184088
12.75,0.166667,0.05,-0.025117,0.00251269,-0.000935742,0.025259709284286388
12.9167,0.166667,0.05,-0.0256887,0.00254724,-0.000951713,0.025832218196313858
13.0833,0.166667,0.05,-0.0262601,0.00258194,-0.000968148,0.02640448023960146
13.25,0.166667,0.05,-0.0268302,0.00261692,-0.000985144,0.026975515028023762
13.4167,0.166667,0.05,-0.0273983,0.00265232,-0.00100278,0.0275446403498176
13.5833,0.166667,0.05,-0.0279634,0.00268827,-0.00102114,0.02811087444482117
13.75,0.166667,0.05,-0.0285246,0.00272492,-0.00104027,0.028673335275815056
13.9167,0.166667,0.05,-0.0290812,0.00276244,-0.00106024,0.029231342375115106
14.0833,0.166667,0.05,-0.0296323,0.00280095,-0.00108107,0.02978400974579145
14.25,0.166667,0.05,-0.0301772,0.00284063,-0.00110278,0.030330656147952027
14.4167,0.166667,0.05,-0.0307154,0.00288163,-0.00112538,0.030870796373940534
14.5833,0.166667,0.05,-0.0312463,0.00292411,-0.00114887,0.03140384666341052
14.75,0.166667,0.05,-0.0317697,0.00296822,-0.00117321,0.0319296193175318
14.9167,0.166667,0.05,-0.0322857,0.00301411,-0.00119838,0.03244822642620857
15.0833,0.166667,0.05,-0.0327943,0.00306195,-0.0012243,0.03295968083556787
15.25,0.166667,0.05,-0.0332961,0.00311187,-0.00125092,0.033464590404684476
15.4167,0.166667,0.05,-0.0337917,0.00316402,-0.00127814,0.03396356361323117
15.5833,0.166667,0.05,-0.0342823,0.00321852,-0.00130588,0.0344578044404283
15.75,0.166667,0.05,-0.0347691,0.0032755,-0.001334,0.03494851600654883
15.9167,0.166667,0.05,-0.0352538,0.00333506,-0.0013624,0.0354373979491102
16.0833,0.166667,0.05,-0.0357386,0.0033973,-0.00139092,0.03592664520514544
16.25,0.166667,0.05,-0.0362257,0.00346229,-0.00141943,0.036418451011252524
16.4167,0.166667,0.05,-0.036718,0.00353008,-0.00144777,0.036915701629243076
16.5833,0.166667,0.05,-0.0372184,0.0036007,-0.00147577,0.037421280525162415
16.75,0.166667,0.05,-0.0377303,0.00367413,-0.00150327,0.03793856336288711
16.9167,0.166667,0.05,-0.0382574,0.00375033,-0.00153011,0.038471221276182535
17.0833,0.166667,0.05,-0.0388036,0.00382922,-0.0015561,0.039023118096564245
17.25,0.166667,0.05,-0.039373,0.00391068,-0.00158109,0.03959831300258257
17.4167,0.166667,0.05,-0.0399698,0.00399452,-0.00160493,0.0402009564858263
